intancia,obj
instance_0001,0
instance_0002,0
instance_0003,0
instance_0004,0
instance_0005,0
instance_0006,0
instance_0007,0
instance_0008,0
instance_0009,0
instance_0010,0
instance_0011,0
instance_0012,0
instance_0013,0
instance_0014,0
instance_0015,0
instance_0016,0
instance_0017,0
instance_0018,0
instance_0019,0
instance_0020,0
