instancia,ordenes,obj,error,tiempo,it
instance_0001,61.0,15.0,0.0,1.0,5.0
instance_0002,7.0,2.0,0.0,1.0,3.0
instance_0003,82.0,12.0,0.0,1.0,5.0
instance_0004,16.0,3.5,0.0,1.0,6.0
instance_0005,2625.0,174.25,56.370000000000005,78.0,4.0
instance_0006,10341.0,555.6666666666666,135.33333333333337,66.0,5.0
instance_0007,8320.0,392.25,0.0,44.0,6.0
instance_0008,2185.0,162.94117647058823,0.0011764705882342241,75.0,4.0
instance_0009,70.0,4.416666666666667,0.0033333333333329662,1.0,6.0
instance_0010,1602.0,16.745098039215687,0.04490196078431197,60.0,3.0
instance_0011,1029.0,15.671641791044776,1.1783582089552258,59.0,4.0
instance_0012,133.0,11.25,0.0,1.0,6.0
instance_0013,8375.0,117.3846153846154,0.00461538461540556,58.0,6.0
instance_0014,12402.0,117.77083333333331,0.8691666666666862,60.0,3.0
instance_0015,7367.0,149.33333333333334,0.0033333333333303017,57.0,7.0
instance_0016,1108.0,85.0,0.0,1.0,6.0
instance_0017,417.0,36.5,0.0,1.0,5.0
instance_0018,2682.0,117.2,0.0,8.0,6.0
instance_0019,2257.0,202.0,0.0,5.0,7.0
instance_0020,5.0,5.0,0.0,1.0,4.0
Tiempo total,,,,9.65,
