instancia,ordenes,obj,error,tiempo,it
instance_0001,61.0,15.0,0.0,1.0,3.0
instance_0002,7.0,6.0,4.0,1.0,2.0
instance_0003,82.0,12.0,0.0,1.0,4.0
instance_0004,16.0,3.5,0.0,1.0,4.0
instance_0005,2625.0,174.5,56.620000000000005,52.0,1.0
instance_0006,10341.0,691.0,0.0,53.0,5.0
instance_0007,8320.0,392.25,0.0,23.0,4.0
instance_0008,2185.0,157.77777777777777,5.162222222222226,52.0,1.0
instance_0009,70.0,4.416666666666667,0.0033333333333329662,1.0,5.0
instance_0010,1602.0,16.870967741935484,0.08096774193548484,102.0,2.0
instance_0011,1029.0,15.386363636363637,1.4636363636363647,52.0,2.0
instance_0012,133.0,11.25,0.0,1.0,4.0
instance_0013,8375.0,117.3846153846154,0.00461538461540556,52.0,3.0
instance_0014,12402.0,181.63636363636363,62.996363636363625,122.0,3.0
instance_0015,7367.0,149.33333333333334,0.0033333333333303017,34.0,4.0
instance_0016,1108.0,85.0,0.0,1.0,2.0
instance_0017,417.0,36.5,0.0,1.0,3.0
instance_0018,2682.0,117.2,0.0,4.0,3.0
instance_0019,2257.0,202.0,0.0,1.0,1.0
instance_0020,5.0,5.0,0.0,1.0,2.0
Tiempo total,,,,9.266666666666667,
