instancia,ordenes,pasillos,usados,obj,expected,error,tiempo,it
instance_0001,11321,185,2,631.5,631.5,0.0,3.0,8
instance_0002,2162,165,11,180.63636363636363,180.64,0.003636363636360329,57.0,8
instance_0003,2070,164,5,149.6,149.6,0.0,89.0,9
instance_0004,2448,163,17,155.94117647058823,155.67,0.27117647058824446,596.0,9
instance_0005,6468,179,3,368.0,368.0,0.0,3.0,7
instance_0006,1857,165,36,83.86111111111111,83.97,0.1088888888888846,596.0,11
instance_0007,1841,165,1,108.0,108.0,0.0,1.0,8
instance_0008,12334,398,10,227.1,227.1,0.0,102.0,9
instance_0009,5581,417,14,82.5,82.5,0.0,40.0,8
instance_0010,14952,482,3,444.0,444.0,0.0,30.0,7
instance_0011,45112,482,10,895.9,898.8,2.8999999999999773,598.0,7
instance_0012,28263,483,11,563.8181818181819,567.64,3.8218181818181165,597.0,5
instance_0013,38214,483,9,753.4444444444445,756.78,3.3355555555555156,597.0,6
instance_0014,38202,483,6,885.1666666666666,885.17,0.0033333333333303017,597.0,7
instance_0015,11541,398,15,163.06666666666666,166.14,3.0733333333333235,597.0,9
Tiempo total,0,0,0,,,,75.05,0
