ordenes,obj,tiempo,it
5581,82.5,12,5
12334,227.1,53,5
2070,149.6,57,5
2162,180.63636363636363,15,5
38202,879.5,252,5
11541,162.4,127,3
11321,631.5,5,3
6468,368.0,2,3
45112,866.0,85,1
14952,444.0,14,3
2448,155.66666666666666,485,9
28263,564.2727272727273,272,5
1857,82.97058823529412,244,5
1841,108.0,1,4
38214,744.3333333333334,203,3
