ordenes,obj,tiempo,it
10,9.0,1,1
4,7.5,1,1
6,8.333333333333334,1,1
8,10.0,1,1
4,7.0,1,1
10,10.0,1,1
5,4.0,1,1
4,8.0,1,1
3,3.0,1,1
10,6.0,1,1
4,15.0,1,1
3,3.0,1,1
8,7.0,1,1
2,6.0,1,1
3,10.0,1,1
1,1.3333333333333333,1,1
10,6.0,1,1
5,5.0,1,1
5,10.5,1,1
3,7.0,1,1
6,9.0,1,1
5,3.0,1,1
5,6.0,1,1
8,15.0,1,1
2,2.0,1,1
7,2.0,1,1
8,12.0,1,1
10,5.0,1,1
16,3.5,1,1
