it,obj,tiempo
0,158.125,2
1,160.93333333333334,2
2,161.1333333333333,2
3,162.2666666666667,2
4,162.4,33
5,166.1428571428571,8
6,166.14285714285717,64
7,166.14285714285717,6
8,166.14285714285717,79
9,166.14285714285717,6
10,166.14285714285717,73
11,166.14285714285717,6
12,166.14285714285717,73
13,166.14285714285717,6
14,166.14285714285717,71
15,166.14285714285717,6
16,166.14285714285717,71
17,166.14285714285717,7
18,166.14285714285717,71
19,166.14285714285717,6
20,166.14285714285717,1
