it,obj,tiempo
0,26.5175983436853,0
1,26.739039665970534,1
2,99.28682170542663,28
3,102.46399999999977,1
4,166.33766233766215,99
5,175.45205479452028,1
6,206.58064516129065,104
7,220.82758620689685,2
8,241.66037735849068,45
9,261.3877551020411,1
10,370.4838709677417,36
11,396.51851851851853,2
12,396.5555555555557,11
13,425.47826086956513,2
14,425.65217391304344,12
15,460.4210526315791,2
16,460.6842105263157,20
17,506.5999999999999,2
18,558.9090909090908,64
19,564.0909090909089,68
20,564.090909090909,88
