it,obj,tiempo
0,158.125,2
1,160.73333333333332,2
2,161.8,8
3,163.60000000000002,94
4,166.1428571428572,181
5,166.14285714285717,65
6,166.14285714285717,73
7,166.14285714285717,76
8,166.14285714285717,76
9,166.14285714285717,18
